股票代號    公司簡稱    開盤        最高        最低        昨收        漲停價      跌停價      當盤成交價  當盤成交量  累積成交量  
2345        智邦        152.0000    158.0000    151.0000    156.5000    172.0000    141.0000    158.0000    478         4420        
2412        中華電      106.5000    107.0000    106.0000    107.5000    118.0000    96.8000     106.5000    1756        6501        
2419        仲琦        16.4500     18.3000     16.2500     16.6500     18.3000     15.0000     18.3000     3           1761        
2439        美律        119.0000    124.5000    118.0000    121.5000    133.5000    109.5000    124.5000    255         2530        
2444        兆勁        14.0000     14.2000     13.6500     14.3500     15.7500     12.9500     14.1000     44          1661        
2450        神腦        26.0000     26.3000     25.8000     26.2500     28.8500     23.6500     26.2000     1           111         
2455        全新        75.6000     78.5000     74.5000     77.5000     85.2000     69.8000     78.5000     87          2126        
2485        兆赫        12.7000     13.1000     12.5500     12.9500     14.2000     11.7000     12.9500     8           403         
2498        宏達電      27.2000     28.3000     27.2000     27.9500     30.7000     25.2000     28.3000     237         5094        
3025        星通        14.4000     14.6000     14.1000     14.5500     16.0000     13.1000     14.6000     2           31          
3027        盛達        5.4300      5.4300      5.3500      5.4300      5.9700      4.8900      -           -           51          
3045        台灣大      100.0000    101.0000    99.5000     101.5000    111.5000    91.4000     100.0000    1008        4382        
3047        訊舟        6.4400      6.4500      6.3000      6.5700      7.2200      5.9200      6.4200      22          745         
3062        建漢        11.6000     12.1500     11.2000     11.9500     13.1000     10.8000     12.1000     28          879         
3311        閎暉        18.6000     18.6000     18.3000     18.9500     20.8000     17.1000     18.5500     2           66          
3380        明泰        15.5000     16.3000     15.4000     15.9000     17.4500     14.3500     16.3000     58          2386        
3419        譁裕        9.7300      10.1000     9.7300      10.0500     11.0500     9.0500      10.0500     13          184         
3596        智易        64.2000     67.2000     63.8000     65.9000     72.4000     59.4000     67.0000     90          2518        
3682        亞太電      5.5500      5.6400      5.5100      5.7400      6.3100      5.1700      5.6200      52          2675        
3694        海華        12.1500     12.2000     11.7000     12.2000     13.4000     11.0000     12.0500     2           70          
3704        合勤控      11.9000     12.4500     11.8500     12.1000     13.3000     10.9000     12.4500     99          1440        
4904        遠傳        63.1000     63.2000     62.1000     64.9000     71.3000     58.5000     62.5000     1201        3741        
4906        正文        17.8000     19.0000     17.5000     18.0000     19.8000     16.2000     19.0000     74          2863        
4977        眾達-KY     78.9000     84.9000     78.7000     81.8000     89.9000     73.7000     84.5000     98          1722        
5388        中磊        62.0000     62.7000     61.1000     62.5000     68.7000     56.3000     62.7000     32          761         
6136        富爾特      16.8500     17.0000     16.5000     16.9000     18.5500     15.2500     17.0000     16          105         
6142        友勁        4.8100      5.1700      4.8100      5.2300      5.7500      4.7100      5.1700      3           162         
6152        百一        4.3900      4.5500      4.3900      4.4600      4.9000      4.0200      -           -           153         
6216        居易        23.6500     24.1500     23.1500     23.6500     26.0000     21.3000     24.1500     2           144         
6285        啟碁        50.1000     51.3000     49.3500     51.3000     56.4000     46.2000     51.0000     24          1558        
6416        瑞祺電通    110.0000    118.0000    108.0000    112.0000    123.0000    101.0000    118.0000    213         2795        
6442        光聖        31.9000     31.9500     31.9000     31.1500     34.2500     28.0500     -           -           5           
6674        鋐寶科技    18.4000     18.5500     18.2000     18.5500     20.4000     16.7000     18.5500     3           36          
8011        台通        10.8000     11.0000     10.5500     10.9500     12.0000     9.8600      10.8500     9           216         
8101        華冠        4.0700      4.1000      4.0000      4.1400      4.5500      3.7300      4.1000      15          256         
1471        首利        1.4300      1.5100      1.4000      1.5500      1.7000      1.4000      1.5100      2           137         
1582        信錦        64.2000     64.6000     63.1000     64.8000     71.2000     58.4000     64.6000     22          467         
2059        川湖        289.0000    292.5000    271.0000    291.0000    320.0000    262.0000    292.5000    9           318         
2308        台達電      117.0000    119.5000    115.0000    118.0000    129.5000    106.5000    119.5000    839         4749        
2313        華通        29.6000     31.4000     29.5000     30.8000     33.8500     27.7500     31.1000     875         32339       
2316        楠梓電      22.8500     24.0500     22.4000     23.4500     25.7500     21.1500     23.7500     51          1724        
2327        國巨        267.5000    280.0000    267.0000    280.5000    308.5000    252.5000    278.0000    544         9821        
2328        廣宇        15.8500     16.3000     15.7500     16.1500     17.7500     14.5500     16.2000     58          1369        
2355        敬鵬        20.2000     20.7500     20.0000     20.8000     22.8500     18.7500     20.5000     18          963         
2367        燿華        17.9000     19.5000     17.7500     18.5500     20.4000     16.7000     19.5000     700         17035       
2368        金像電      23.1500     23.6500     22.5000     23.1000     25.4000     20.8000     23.6000     4196        98875       
2375        凱美        29.0500     30.0000     28.5000     29.6500     32.6000     26.7000     29.6000     54          1702        
2383        台光電      103.5000    108.0000    102.5000    105.5000    116.0000    95.0000     108.0000    118         2488        
2385        群光        74.4000     77.0000     74.4000     76.6000     84.2000     69.0000     76.4000     291         2586        
2392        正崴        27.9500     29.5000     27.8000     28.9000     31.7500     26.0500     29.5000     146         2432        
2402        毅嘉        10.6000     11.0000     10.4000     10.8000     11.8500     9.7200      11.0000     14          727         
2413        環科        9.5000      9.8700      9.2200      9.6000      10.5500     8.6400      9.8300      15          277         
2415        錩新        11.3000     11.6000     11.2000     11.5000     12.6500     10.3500     11.5000     1           75          
2420        新巨        28.0500     28.6000     27.7000     28.8500     31.7000     26.0000     28.6000     8           303         
2421        建準        30.0500     30.9000     29.7000     30.4500     33.4500     27.4500     30.9000     118         1661        
2428        興勤        72.5000     74.3000     71.5000     73.1000     80.4000     65.8000     74.3000     30          448         
2429        銘旺科      17.8000     18.3000     17.4500     18.5000     20.3500     16.6500     18.0000     3           77          
2431        聯昌        6.5500      6.7700      6.5100      6.7500      7.4200      6.0800      6.7600      1           110         
2440        太空梭      7.2000      7.4500      7.2000      7.4000      8.1400      6.6600      -           -           9           
2456        奇力新      76.6000     79.4000     76.0000     79.1000     87.0000     71.2000     79.2000     128         3329        
2457        飛宏        5.7500      5.8500      5.5000      5.8200      6.4000      5.2400      5.8300      21          362         
2460        建通        6.3500      6.8000      6.3500      6.7500      7.4200      6.0800      -           -           34          
2462        良得電      24.5000     24.5000     24.3000     24.5000     26.9500     22.0500     24.4500     4           211         
2467        志聖        24.8000     25.2000     24.6000     25.1500     27.6500     22.6500     25.1500     10          288         
2472        立隆電      26.8500     27.4000     26.4000     27.4500     30.1500     24.7500     27.3000     6           233         
2476        鉅祥        18.5500     18.5500     17.8500     18.5500     20.4000     16.7000     18.3500     3           76          
2478        大毅        50.3000     52.6000     50.3000     52.6000     57.8000     47.3500     52.6000     174         3750        
2483        百容        16.1500     16.2000     15.9000     16.2000     17.8000     14.6000     16.2000     30          120         
2484        希華        15.4000     15.6000     15.1500     15.6000     17.1500     14.0500     15.5500     4           549         
2492        華新科      153.0000    163.5000    152.5000    160.5000    176.5000    144.5000    162.0000    698         13496       
2493        揚博        26.0000     26.5000     25.8000     26.4000     29.0000     23.8000     26.4000     4           434         
3003        健和興      29.4000     29.4000     28.7500     29.7500     32.7000     26.8000     29.1000     38          696         
3011        今皓        4.4000      4.6000      4.3900      4.5000      4.9500      4.0500      4.4100      5           139         
3015        全漢        18.4000     18.7000     18.0000     18.4500     20.2500     16.6500     18.7000     11          247         
3021        鴻名        10.8500     11.1000     10.8000     11.2000     12.3000     10.1000     10.9500     5           83          
3023        信邦        115.5000    122.0000    115.5000    117.0000    128.5000    105.5000    120.5000    45          1399        
