股票代號     公司簡稱     開盤         最高         最低         昨收         漲停價       跌停價       當盤成交價   當盤成交量   累積成交量  
3563         牧德         204.0000     220.0000     202.0000     220.0000     242.0000     198.0000     215.0000     31           901         
3576         聯合再生     4.2400       4.3800       4.2000       4.5100       4.9600       4.0600       4.2600       131          5752        
3591         艾笛森       7.9000       7.9000       7.5500       8.3000       9.1300       7.4700       7.8600       1            332         
3622         洋華         15.5000      16.1500      15.3500      15.9500      17.5000      14.4000      16.0000      2            478         
3669         圓展         19.3000      19.3000      18.2000      20.2000      22.2000      18.2000      18.7500      28           1620        
3673         TPK-KY       32.0000      33.4500      31.8000      34.0000      37.4000      30.6000      32.6500      74           2232        
3698         隆達         10.0500      10.4000      10.0000      10.7000      11.7500      9.6300       10.1500      62           781         
4934         太極         9.7000       10.1500      9.5000       10.3500      11.3500      9.3200       9.7300       24           1920        
4935         茂林-KY      79.0000      82.5000      76.5000      80.0000      88.0000      72.0000      81.3000      210          8638        
4942         嘉彰         26.0000      26.4000      25.5500      27.0000      29.7000      24.3000      26.0500      8            455         
4956         光鋐         7.7000       7.8200       7.4300       7.9700       8.7600       7.1800       7.6600       5            196         
4960         誠美材       4.0000       4.0000       3.8000       4.0800       4.4800       3.6800       -            -            213         
4976         佳凌         12.0500      13.3000      12.0500      13.3500      14.6500      12.0500      13.1000      24           508         
5234         達興材料     63.4000      63.9000      61.0000      64.9000      71.3000      58.5000      63.2000      15           262         
5243         乙盛-KY      24.0000      25.0000      23.6000      25.0500      27.5500      22.5500      24.0500      20           567         
5484         慧友         6.8000       6.8000       6.8000       6.9600       7.6500       6.2700       -            -            2           
6116         彩晶         4.8900       4.9600       4.7400       5.1000       5.6100       4.5900       4.8600       534          12736       
6120         達運         7.8000       7.8000       7.4400       7.9300       8.7200       7.1400       7.4500       8            1346        
6131         鈞泰         2.6500       2.6700       2.6500       2.6600       2.9200       2.4000       2.6700       20           45          
6164         華興         4.6300       4.6400       4.4100       4.8500       5.3300       4.3700       4.6100       67           201         
6168         宏齊         9.7000       9.7000       9.3000       9.8300       10.8000      8.8500       9.6000       26           442         
